Address;Living_space;Num_of_rooms;Renovation;Price;Total_area;Kitchen_area;Floor;Appliances_1;Appliances_2;Appliances_3;Appliances_4;Appliances_5;Appliances_6;Appliances_7;Appliances_8;Appliances_9;Appliances_10;Balcony_1;Balcony_2;Furniture_1;Furniture_2;Furniture_3;Internet_tv_1;Internet_tv_2;Bathroom_1;Bathroom_2;Utilities_1;Room_type_1;Room_type_2;Studio;Floors_in_b
Республика Татарстан, Казань, ул. Аметьевская Магистраль, 18к3;;2;2;32000;45.0;18.0;13;0;1;0;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;25
Республика Татарстан, Казань, Краснококшайская ул., 154;18.0;1;1;15000;30.0;6.0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;5
Республика Татарстан, Казань, ул. Лукина, 20;;1;1;16000;37.0;8.0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
Республика Татарстан, Казань, ул. Хади Такташа, 93;;2;1;22000;65.0;14.0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;5
Республика Татарстан, Казань, ул. Малая Крыловка, 27;14.4;1;1;17000;28.3;6.5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Республика Татарстан, Казань, Тэцевская ул., 4А;11.0;1;2;20000;22.0;;5;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;1;12
Республика Татарстан, Казань, ул. Академика Королёва, 46;10.0;2;1;20000;53.0;33.0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;5
Республика Татарстан, Казань, ул. Аметьевская Магистраль, 16к2;20.0;1;2;25000;30.0;10.0;21;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;0;0;24
Республика Татарстан, Казань, ул. Павлюхина, 99Б;;1;2;22000;45.5;8.0;6;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;9
Республика Татарстан, Казань, Чистопольская ул., 60;;2;2;25000;83.9;20.0;1;0;1;0;0;1;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;0;0;9
Республика Татарстан, Казань, ул. Мусина, 59Б;14.0;1;1;18000;30.0;5.0;9;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;12
Республика Татарстан, Казань, ул. Коротченко, 4;;1;2;16000;33.0;8.0;2;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;5
Республика Татарстан, Казань, ул. Хади Такташа, 121;15.4;1;1;18500;40.0;11.1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Республика Татарстан, Казань, Чистопольская ул., 51;;1;1;19000;32.7;8.0;9;0;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;10
Республика Татарстан, Лаишевский р-н, Столбищенское сельское поселение, с. Усады, жилой комплекс Южный Парк, Сиреневая ул., 8;;1;2;15000;35.0;12.0;1;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0;1;0;1;0;0;0;0;5
