Living_space;Num_of_rooms;Renovation;Price;Total_area;Kitchen_area;Floor;Appliances_1;Appliances_2;Appliances_3;Appliances_4;Appliances_5;Appliances_6;Appliances_7;Appliances_8;Appliances_9;Appliances_10;Balcony_1;Balcony_2;Furniture_1;Furniture_2;Furniture_3;Internet_tv_1;Internet_tv_2;Bathroom_1;Bathroom_2;Utilities_1;Room_type_1;Room_type_2;Studio;Floors_in_b;location;coord;district_1;district_2;district_3;district_4;district_5;district_6;district_7;district_8;district_9
;1;1;17500;45.8;12.0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;СДЭК, 18, улица Галимджана Баруди, Ягодная слобода, Кировский район, Казань, Татарстан, Приволжский федеральный округ, 420102, Россия;(55.822645, 49.068631);0;0;0;0;0;1;0;0;0
23.0;1;2;16000;42.0;9.0;8;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;10;52, улица Лукина, Озёрный, Авиастроительный район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420098, Россия;(55.86910125, 49.094808088093224);0;0;0;0;0;0;1;0;0
;1;1;14000;29.0;7.0;9;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;9;Магнит, 40, улица Карбышева, Танкодром, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420087, Россия;(55.7629084, 49.1774316);1;0;0;0;0;0;0;0;0
19.0;1;1;11000;35.6;8.0;3;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;6;10, Бойничная улица, Калуга, Вахитовский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420043, Россия;(55.77766165, 49.14833218983587);0;1;0;0;0;0;0;0;0
;2;1;17000;71.0;11.0;2;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0;0;5;10, улица Тимирязева, Соцгород, Авиастроительный район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420036, Россия;(55.8508844, 49.076653149740466);0;0;0;0;0;0;1;0;0
55.0;3;2;25000;65.0;5.0;4;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;0;5;35, улица Столярова, Адмиралтейская слобода, Кировский район, Казань, Татарстан, Приволжский федеральный округ, 420030, Россия;(55.798418749999996, 49.06372969427627);0;0;0;0;0;1;0;0;0
;1;1;13000;36.0;7.0;2;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;3;8, Теплично-Комбинатская улица, Авиастроительный район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420036, Россия;(55.856118949999995, 49.055163757048646);0;0;0;0;0;0;1;0;0
;1;1;13000;15.0;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;29, улица Латышских Стрелков, Танкодром, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420059, Россия;(55.75731375, 49.16571879999999);1;0;0;0;0;0;0;0;0
;2;1;13000;23.0;4.0;3;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;1;0;0;1;0;0;5;22А, улица Гудованцева, Авиастроительный район, Казань, Татарстан, Приволжский федеральный округ, 420085, Россия;(55.86920945, 49.02281081212426);0;0;0;0;0;0;1;0;0
;1;2;17000;35.0;9.0;3;0;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;1;0;0;0;0;4;8, Пионерская улица, Новая Сосновка, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420075, Россия;(55.8560614, 49.240600611967736);1;0;0;0;0;0;0;0;0
;2;1;19000;44.0;5.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;5;14, улица Годовикова, Соцгород, Авиастроительный район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420127, Россия;(55.861321000000004, 49.09790135);0;0;0;0;0;0;1;0;0
15.0;1;1;12500;33.0;9.0;6;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;10;25, улица Четаева, Ново-Савиновский район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420126, Россия;(55.8238306, 49.130048099999996);0;0;0;1;0;0;0;0;0
16.0;1;2;13000;30.0;9.0;5;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;9;15, улица Железнодорожников, Юдино, Кировский район, Казань, Татарстан, Приволжский федеральный округ, 420078, Россия;(55.821357649999996, 48.8911504752713);0;0;0;0;0;1;0;0;0
17.0;1;2;32000;38.0;11.5;5;0;1;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;9;82, Чистопольская улица, Ново-Савиновский район, Казань, Татарстан, Приволжский федеральный округ, 421001, Россия;(55.81862525, 49.139568384551694);0;0;0;1;0;0;0;0;0
14.0;1;1;20000;44.0;11.0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;Магнит, 40, улица Максимова, Соцгород, Авиастроительный район, городской округ Казань, Татарстан, Приволжский федеральный округ, 420037, Россия;(55.862792, 49.0837508);0;0;0;0;0;0;1;0;0
16.0;1;1;17500;31.5;7.0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;84, улица Братьев Касимовых, Горки-2, Приволжский район, Казань, Татарстан, Приволжский федеральный округ, 420110, Россия;(55.755292999999995, 49.2132517);0;0;1;0;0;0;0;0;0
;1;2;22000;30.0;10.0;5;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;5;Кул Шариф, 1, улица Красной Позиции, Советский район, Казань, Татарстан, Приволжский федеральный округ, 420045, Россия;(55.7930008, 49.1680011);1;0;0;0;0;0;0;0;0
